CLUSTER_ID,CLUSTER_SIZE,SAMPLE_COUNT,CORE_TRAIT,VARIATION
0,11,11,日本海沿岸の堆積地形上に形成された観光・滞在拠点性。全ノードが砂丘・砂州・砂礫州・砂礫質台地・丘陵といった海岸性堆積地形または海岸隣接丘陵上に立地し（標高2.7m〜141.9mと幅はあるが、内陸山岳型は皆無）、かつ日本海に面した海岸線に沿って分布している点が共通する。鳴子ノードのみ谷底低地・内陸型だが、他の大多数は海岸堆積地形上に位置する。浜坂ノードの砂州・砂礫州（標高5.6m）、湯野浜の砂州（標高2.7m）、瀬波の砂丘（標高14.8m・25.1m）、黄金崎の砂礫質台地（標高21m）など、波浪・沿岸流による堆積作用が形成した低〜中位地形が卓越しており、これらが観光・宿泊施設の立地基盤となっている。,地形分類・標高・地域・周辺施設の多様性が顕著である。地形分類は砂州・砂礫州（浜坂・湯野浜）、砂丘（瀬波・湯野浜）、砂礫質台地（湯野浜・黄金崎）、丘陵（瀬波・黄金崎付近）、谷底低地（鳴子）と多岐にわたり、標高も2.7m（湯野浜砂州）から141.9m（鳴子谷底低地）まで幅広い。地域は新潟県村上市（瀬波）、山形県鶴岡市（湯野浜）、宮城県大崎市（鳴子）、青森県深浦町（黄金崎）、兵庫県新温泉町（浜坂）、京都府京丹後市（琴引浜）と東北・北陸・山陰にまたがる。周辺施設も、国際大会対応スケートパーク（瀬波）、鳴き砂天然記念物海岸と神社（琴引浜）、廃線跡サイクリングロード（湯野浜）、警察署・コンビニ・理髪店（鳴子）、先人記念館・図書館（浜坂）など、スポーツ・文化・生活インフラまで多様に分布する。
1,13,13,伝統工芸（こけし・漆器）を核とした観光商業集積地としての機能的同質性。複数ノードにわたり、こけし店（岡崎・大沼・佐藤・岸・秋山・高亀・こけしの岡仁・まるよし等）と漆器店（澤口漆器本舗・漆器の工藤・漆器製造元おいかわ・佐々木漆器店）が反復して出現し、土産物・菓子・海産物・民芸品の小売業が密集している。これは単なる観光地ではなく、「鳴子系こけし」「漆器」という固有の物質文化を製造・販売・展示する機能が街区の骨格を形成していることを示す。行政施設（鳴子総合支所）・金融機関（七十七銀行・古川信用組合）・郵便局・警察署・医療機関も揃い、観光機能と生活機能が重層する在地型の伝統工芸商業街区として際立っている。,地形・土地利用・施設構成の三軸で顕著な多様性が認められる。地形分類では谷底低地（標高141.9〜174.4m）が主体を占めるが、火山地（標高171.7m・185m）と砂礫質台地（標高195m・216.7m）のノードも含まれ、鳴子火山群の熱源地帯に由来する火山地形と、江合川・只見川沿いの堆積低地が混在する。地域的にも宮城県大崎市鳴子温泉（湯元・新屋敷・車湯地区）が主体だが、福島県河沼郡柳津町（只見川沿い砂礫質台地）・山形県鶴岡市湯田川（庄内丘陵裾部谷底低地）・栃木県日光市川治（男鹿川合流部谷底低地・標高477m）が混入し、東北〜北関東の複数温泉街が同一クラスタに分類されている。施設構成面では、鳴子ノード群が商業・行政・医療・交通の複合機能を持つのに対し、柳津ノードは宗教施設（諏訪神社・円蔵寺門前）・観光船・道の駅・ポケモンマンホールという観光特化型、湯田川ノードは旅館集積と式内社・共同浴場という保養特化型、川治ノードは河川沿いの最小限施設という孤立型と、土地利用形態のミクロな差異が大きい。
2,16,16,低標高の後背湿地・扇状地・砂礫質台地・山地・山麓地にまたがる地形的多様性を持ちながら、いずれのノードにも「公衆浴場（銭湯・日帰り入浴施設）」が必ず存在するという共通性が際立つ。地形分類や標高が大きく異なるにもかかわらず、公衆浴場が地域の生活インフラとして根付いている点が、このクラスタを貫く本質的特徴である。後背湿地の福井市街地（宝永湯・ゆけむり温泉）、扇状地の高山市・松本市・長野市・富山市・永平寺町（ゆとぴぁ・ホットプラザ浅間・田川の湯・阿津満湯・ひらきの湯）、砂礫質台地の金沢市長町（松の湯）、山麓地の下諏訪町（遊泉ハウス児湯）、山地の山中温泉（翠明）と、地形を問わず公衆浴場が全ノードに共通して出現する。これは「公衆浴場が立地する生活密着型の市街地・集落」というクラスタ固有の性質を示している。,地形・標高・土地利用・地域・周辺施設の各側面で顕著な多様性が見られる。【地形・標高】後背湿地（標高7.7m・8m：福井市）、砂礫質台地（標高16.3m：金沢市長町、44.1m：加賀市別所町）、扇状地（標高28.2m：富山市藤の木、28.5m：永平寺町松岡、349.7m：長野市芹田、577.5〜587.2m：高山市八軒町、652.7〜652.8m：松本市浅間温泉）、山麓地（標高788.2m：下諏訪町）、山地（標高44.1〜47.7m：加賀市山中温泉）と、標高差は約780mに及ぶ。【土地利用・周辺施設】福井市宝永は養浩館庭園・郷土歴史博物館・NHK放送局・仁愛女子高校など文化・教育・行政施設が集積する城下町中心部。金沢市長町は武家屋敷跡・足軽資料館・前田土佐守家資料館など歴史的景観保全地区。高山市八軒町は三町伝統的建造物群保存地区に隣接する観光商業地。松本市浅間温泉は廃線跡・古墳・私立高校・公共施設が混在する郊外住宅地。長野市芹田は国道18号・信州大学工学部・ビッグハットが立地する複合市街地。下諏訪町は中山道宿場町の歴史的街道沿い。富山市藤の木・永平寺町松岡は農産物直売所・歯科・リサイクルショップなどが点在する郊外住宅地。このように、歴史的城下町・観光地・郊外住宅地・宿場町など土地利用形態が大きく異なる点がvariationの根拠である。
3,13,13,低標高・低平地から丘陵・岩石台地まで多様な地形分類を横断しながら、沖縄本島・南西諸島・トカラ列島の離島・海岸縁辺部に立地する「観光・レジャー複合開発の受け皿地点」という性質。三角州・海岸低地（沖縄市与儀）、埋立地（北谷町美浜）、砂州・砂礫州（宜野座村漢那）、丘陵（瀬長島・ジャングリア）、岩石台地（読谷村・池間島・トカラ列島各島）など地形は異なるが、いずれも公衆浴場・ホテル・テーマパーク・商業施設・スポーツ公園といった観光・レジャー機能が集積または計画的に整備された地点であることが共通する。埋立地ノードのアメリカンビレッジ、丘陵ノードのウミカジテラス・ジャングリア、岩石台地ノードのむら咲むらなど、いずれも「人工的に造成・整備された観光集積地」としての性格を示している。,地形分類の多様性が最も顕著で、標高1mの干拓地（宇検村）から標高157mの丘陵（ジャングリア）まで幅広い。土地利用形態も、埋立地上の大規模リゾート商業地区（北谷町美浜アメリカンビレッジ）、米軍返還跡地の観光再開発（瀬長島）、ゴルフ場跡地のテーマパーク転用（今帰仁村・名護市）、農地・草地が残る離島の小規模施設（池間島・トカラ列島各島）まで多岐にわたる。地域的にも沖縄本島中南部の都市近郊から宮古島・奄美大島・トカラ列島の僻遠離島まで分散し、周辺施設の規模も大型商業施設（イオン北谷SC、リビング・デザイン・スクエア泡瀬）から郵便局・民宿・コミュニティセンターのみの集落まで対照的である。地質面では琉球石灰岩系の岩石台地（池間島・読谷村・トカラ列島）と沖積・埋立系の低地（北谷町・沖縄市与儀）が混在し、地形成因も自然堆積・人工埋立・火山性台地と多様である。
4,20,20,"火山活動に起源を持つ地形（火山地・火山山麓地・カルデラ・溶岩台地など）が卓越しており、標高200m〜1,435mという広い高度帯にわたって分布しているにもかかわらず、地形分類の大半が「火山地」「火山山麓地」に集中している点が本クラスタの本質的特徴である。榛名山カルデラ・那須茶臼岳・吾妻連峰・蓼科高原・浅間山麓など、いずれも第四紀火山体またはその直接的な堆積物上に立地しており、地形形成プロセスとして火山噴出物の累積・カルデラ陥没・溶岩流・火山灰堆積が共通して認められる。砂礫質台地・扇状地・山地といった非火山性地形分類のノードも混在するが、それらも火山性堆積物の二次的再堆積地形（火山性砂礫台地・火山麓扇状地）として解釈できる場合が多く、クラスタ全体を貫く物理的基盤は「火山起源の地表改変」にある。","標高・地形分類・土地利用・周辺施設の構成において顕著な多様性が認められる。【標高】199.8m（富山・福光）から1,435.7m（火山山麓地ノード）まで約1,200mの高度差があり、低標高の砂礫質台地から亜高山帯の火山山麓地まで幅広い。【地形分類】火山地・火山山麓地・山地・砂礫質台地・扇状地の5分類が混在し、単一の地形単元に収束しない。【土地利用・周辺施設】那須湯本では温泉神社・殺生石という宗教・史跡的景観が卓越し、湯野上温泉駅では茅葺き駅舎・囲炉裏・鉄道インフラが観光資源化されており、軽井沢千ヶ滝周辺では現代美術館・リゾートホテル群が集積する。峰山高原ではグランピング・岩塊流散策路など自然体験型施設が主体であり、四万温泉では元禄創業の湯宿建築（群馬県重要文化財）が残存する。このように、同一の火山性地形基盤の上に、宗教的聖地・近代鉄道遺産・高原リゾート・文化財的宿場という異質な土地利用が並立している点が本クラスタの変異の核心である。"
5,11,11,山間河川沿い低地への観光宿泊集積：このクラスタの最も本質的な特徴は、山地・火山地・扇状地・谷底低地という多様な地形分類を横断しながらも、河川沿いの谷底低地に宿泊施設・共同浴場・観光施設が高密度に集積する「山間観光集落型土地利用」である。箱根湯本（火山地・標高131m）では早雲寺・正眼寺などの文化財寺院と旅館・ゲストハウスが混在し、下呂市（谷底低地・標高360〜390m台）では飛騨川沿いに温泉博物館・合掌村・神社・薬局・飲食店が連続して立地する。別所温泉（山地・標高582m）では安楽寺国宝八角三重塔・北向観音など中世文化財が宿泊施設と共存する。いずれも急峻な山地に挟まれた狭小な谷底・河川沿い低地に、宗教・文化・商業・宿泊機能が重層的に圧縮配置されている点が共通する。,地形・地質・土地利用・周辺施設の多様性：地形分類は火山地（箱根湯本・塩原）、谷底低地（下呂市複数ノード・川治・加茂町）、山地（別所温泉・下呂市一部）、扇状地（韮崎）と幅広く、標高も131m（箱根湯本）から582m（別所温泉）まで約450mの差がある。地質的背景も火山性堆積物（箱根・塩原）、飛騨変成岩系山地（下呂）、塩田平の堆積地形（別所）と異なる。土地利用面では、MLIT PLATEAUデータが示す高密度な多層建築群（箱根湯本：1〜6階建て混在、最高高さ31.5m）から、農地・山林が卓越する低密度集落（韮崎・加茂町：farmland・track）まで大きく分化する。周辺施設も、バス停・美容室・コンビニ的飲食店が混在する観光商業地（箱根湯本）、道の駅・スポーツ施設・デリが立地する幹線道路沿い（韮崎）、高齢者福祉施設・歴史民俗資料館・農地が共存する山村集落（加茂町）と、ミクロスケールでの機能構成が大きく異なる。
6,6,6,関東平野西縁の扇状地・台地上に形成された、河川・緑地・歴史的土地利用が重層する半農半郊外的低地帯。標高30〜60m台の扇状地ノードが大半を占め（6ノード中4ノード）、入間川・都幾川・越辺川系の沖積扇状地面に広がる平坦〜緩傾斜地が本クラスタの物理的基盤をなす。ローム台地（134.7m）や火山山麓地（335.9m）が混在するものの、低標高・扇状地という地形的均質性が卓越しており、農地・河川敷・公園緑地が連続する土地利用パターンが共通して見られる。周辺Wikipediaに奥富村（入間川流域）・坂戸市・嵐山町など入間・比企丘陵縁辺の旧村落地名が繰り返し登場することも、この扇状地低地帯としての一体性を裏付ける。,地形・標高・土地利用・歴史的文脈の各軸で多様性が顕著である。地形分類は扇状地（4ノード）・ローム台地・火山山麓地と三種に分かれ、標高も33〜336mと約10倍の幅がある。土地利用面では、狭山市ノードが環境センター・コミュニティ施設・未舗装農道を伴う都市近郊型、坂戸市ノードがビオトープ公園・自転車道・小河川を伴う自然保全型、嵐山町ノードが中世城館跡・史跡博物館・私立女子校を伴う歴史文化型、前橋市ノードが道の駅・バス路線・農産物直売所を伴う観光農村型と、ミクロスケールで機能が大きく異なる。マクロ視点では埼玉県南西部（入間・比企）から群馬県中部（藤岡・前橋）にまたがる広域分布を示し、関東平野西縁〜北関東丘陵縁辺という地域的連続性の中に、都市化圧力・農地保全・自然環境・歴史遺産という異なる土地利用圧が混在している点が最大の変動要因である。
7,6,6,火山・海岸・砂丘など多様な自然地形上に立地しながら、いずれも地域の公共交通・港湾・行政・金融・教育機能が集積した「離島・沿岸辺縁部の生活拠点核」としての性格を共有するクラスタ。各ノードは標高2.5m〜98.1mと幅広く、地形分類も火山山麓地・磯岩礁・砂礫質台地・岩石台地・砂丘と多岐にわたるが、共通して「地域住民の日常生活と観光客の動線が交差する結節点」に位置している。伊豆大島ノードでは警察署・郵便局・信用組合・中学校・港湾が元町地区に集中し、佐賀県玄海町ノードでは電源立地交付金で整備された公共施設群が島内に集積。宮崎・千葉ノードも道の駅・国道沿いの複合レジャー拠点として地域の結節機能を担う。自然地形の多様性にもかかわらず「生活インフラと観光動線の交差点」という機能的同質性がクラスタを貫く本質的特徴である。,地形・地質・土地利用・立地スケールの各軸で顕著な多様性が認められる。【地形・標高】標高2.5mの磯・岩礁（佐賀県三島）から98.1mの砂礫質台地（静岡県パルシェ香りの湯周辺）まで約96mの高低差があり、火山山麓地（伊豆大島・新島）・岩石台地（宮崎日向）・砂丘（千葉館山）と地形分類が5種に及ぶ。【土地利用形態】伊豆大島ノードでは草地・駐車場・歩道・サービス道路・階段が混在する複合的土地利用が見られ、千葉館山ノードでは砂丘上にホテル・テニスコート・コミュニティガーデン・二次幹線道路（房総フラワーライン）が共存する。佐賀三島ノードは橋で本土と繋がる小島という特異なマクロ立地を持つ。【周辺施設の性格】伊豆大島は行政・金融・教育・港湾が揃う島嶼中心市街地、玄海町は電源立地交付金依存の公共整備型、宮崎日向は国道沿い道の駅型複合施設、千葉館山は観光ホテル・フラワーライン沿い観光回廊型と、施設集積の成立背景が大きく異なる。新島ノードは周辺施設情報が乏しく、神社のみが確認される孤立型の様相を呈しており、クラスタ内でも特異な位置を占める。
8,8,8,砂礫質台地・丘陵・扇状地・三角州など多様な地形分類にまたがりながら、標高1.7m〜231.3mという広い高度帯を持つ本クラスタの最も本質的な特徴は「地方中小都市の生活・交通インフラが集積した複合的な地域核」である。飯坂（福島市）・仙台市太白区・坂町（村上市）・二本松市・天童市・湯梨浜町と東北〜山陰にまたがる複数地点に共通して、鉄道駅・郵便局・警察・学校・公共駐車場・商店街的な小売業（米屋・酒屋・青果・菓子・電器・薬局）が密集している。これは単なる居住地ではなく、地域住民の日常生活を支える「生活サービス核」としての機能密度の高さを示しており、地形的多様性を超えて共通する物理的・社会的性質として際立つ。,地形面では砂礫質台地（標高94〜103m、飯坂地区）・谷底低地（29.6m、仙台市太白区）・扇状地（10.3m、坂町；126.2m、天童市）・丘陵（231.3m、二本松市）・三角州・海岸低地（1.7m、湯梨浜町）と地形分類・標高ともに著しく多様である。土地利用形態もミクロ視点では、飯坂ノードでは住宅系道路沿いに旅館・ゲストハウス・美容室・豆腐店・遊具広場が混在する密集型街区を形成する一方、二本松ノードではバイパス沿いのドライブイン・JA斎場・道の駅的休憩施設が点在する幹線道路型の疎な土地利用を示す。坂町ノードでは羽越本線・米坂線の接続駅を核とした交通結節点型の施設配置が見られ、天童ノードでは広域スポーツ公園という大規模公共施設が卓越する。湯梨浜ノードは汽水湖（東郷池）の埋立地という特異な地盤条件のもと、観光案内所・足湯・公園が湖岸に展開する。このようにマクロ視点では東北〜山陰の広域分散、ミクロ視点では街区密度・施設業種・交通インフラの種別が各ノードで大きく異なり、周辺施設の構成に顕著な多様性が認められる。
9,14,14,このクラスタの本質的特徴は「河川沿い低地・小盆地に形成された小規模定住集落の観光地化」である。標高2.5m〜122.1mと幅はあるが、谷底低地・自然堤防・三角州・扇状地など、いずれも河川の堆積作用が卓越する低平地形に立地している点が共通する。湯村温泉（春来川沿い）・岩井温泉（蒲生川支流沿い）・三朝温泉（三徳川沿い）・浜村温泉（浜村川沿い）・寺宝温泉（王寺川周辺）・鯰温泉（富山湾近傍の扇状地）など、いずれも河川水系と密接に結びついた立地を示す。「荒湯」の照来断層・湯村断層沿いの湧出や、岩井温泉の蒲生川支流合流点付近の立地は、断層・河川系が温泉湧出を規定する地質構造的背景を示唆しており、河川低地という地形分類が単なる偶然ではなく、地下水・断層系との連動によって選択されていることを裏付ける。,地域的多様性として、山陰（兵庫・鳥取）・北陸（富山）・東北（岩手・青森）・甲信越（新潟・長野）・東北内陸（宮城）と広域に分散しており、日本海側気候帯から太平洋側気候帯にまたがる。地形分類の面では谷底低地（湯村・岩井・三朝・和田山・盛南）・自然堤防（寺宝）・三角州・海岸低地（浜村）・扇状地（鯰・おぶせ）・砂州・砂礫州（浜坂）・砂礫質台地（川崎）・ローム台地（三沢）・山麓地（弥彦×2）と多様で、純粋な低地から台地・山麓まで幅がある。土地利用形態も、温泉街に付随する商業・宿泊・農産物直売・文化施設（夢千代館・バイオリン美術館）・神社門前（弥彦）・漁港近接（鯰）・農地（寺宝・川崎）と多岐にわたる。標高も2.5m（浜村）から414.1m（おぶせ）まで大きく異なり、海岸低地から内陸高位扇状地まで地形的スペクトルが広い。
