CLUSTER_ID,CLUSTER_SIZE,SAMPLE_COUNT,CORE_TRAIT,VARIATION
0,11,11,日本海沿岸の砂浜・砂丘・砂礫地形に直接立地し、夕日・海景観と塩化物泉を一体的に享受できる「海辺露天風呂」型温泉地。砂州・砂礫州（琴引浜・湯野浜・浜坂）、砂丘（瀬波・湯野浜周辺）、砂礫質台地（黄金崎・浜坂）など低標高の海岸堆積地形上に温泉が湧出し、露天風呂から日本海を直視できる立地が複数ノードで確認される。黄金崎不老不死温泉の海辺岩場露天風呂、瀬波温泉の夕日景観、湯野浜温泉の「夕日を望める湯船」という記述が、このクラスタの本質的性格を端的に示している。,地形分類は砂州・砂礫州（標高2.7〜11.4m）・砂丘（14.8〜25.1m）・砂礫質台地（7.6〜21m）・丘陵（6.6〜38.9m）と多様で、標高も2.7mから38.9mまで幅がある。地質的背景も花崗岩質白砂（琴引浜）・鉄分含有塩化物泉（黄金崎）・ナトリウム-塩化物泉（瀬波・湯野浜・浜坂）と異なる。周辺施設の充実度にも大きな差があり、鳴子温泉ノードは谷底低地・標高141.9mと唯一の内陸山間型で、旅館・コンビニ・警察署が集積する温泉街を形成する一方、黄金崎は一軒宿のみの孤立型。琴引浜は天然記念物・環境保全型、浜坂は配湯型コミュニティ温泉と、観光モデルも多岐にわたる。
1,13,13,このクラスタの本質的特徴は「鉄道駅直結型・生活密着温泉街」である。大多数のノードが宮城県大崎市鳴子温泉（標高141〜216m、谷底低地・火山地）に集中し、JR陸羽東線・鳴子温泉駅を核として温泉施設（滝の湯・早稲田桟敷湯・足湯・手湯）、こけし店・漆器店・菓子店・土産物店、銀行・郵便局・警察署・市役所支所・医療機関・コンビニが一体的に集積している。これは純粋な観光リゾートでも秘湯でもなく、「駅前温泉街＝地域住民の日常生活圏と観光機能が不可分に融合した場」という固有性を示す。鳴子温泉駅の1日平均乗車人員161人という低水準にもかかわらず、行政・金融・商業が揃う点が、この「生活密着性」を裏付ける。柳津温泉（福島県）・川治温泉（栃木県）・湯田川温泉（山形県）・比内のゆ（秋田県）の各ノードも同様に、鉄道駅または地域生活インフラと温泉が近接する構造を持つ。,地域・地形・地質・周辺施設の面で多様性が顕著である。【地域】宮城県大崎市鳴子温泉（複数ノード）を主軸としつつ、福島県柳津町（只見川沿い）、栃木県日光市川治温泉（鬼怒川・男鹿川合流部）、山形県鶴岡市湯田川温泉（庄内平野南西部丘陵）、秋田県大館市比内町（扇田）と東北4県にまたがる。【地形分類】谷底低地（鳴子・川治・湯田川など多数）、火山地（鳴子温泉街中心部2ノード）、砂礫質台地（柳津2ノード）、扇状地（比内のゆ）と多様で、標高も22.9m（湯田川）〜477.4m（川治）と幅広い。【地質・熱源】鳴子は鳴子火山群由来で7泉質が近接湧出、柳津は砂子原カルデラ地熱、川治はアルカリ性単純温泉と、熱源・泉質が異なる。【周辺施設】鳴子は商店街・行政・医療が密集する都市的構成、柳津は円蔵寺門前町・道の駅・観光船・ポケふたと宗教観光複合型、川治は足湯と旅館のみの小規模型、湯田川は木造旅館群と共同浴場の純粋保養型、比内のゆは農地・山神社に囲まれた農村型と、施設構成が大きく異なる。
2,16,16,このクラスタの本質的特徴は「城下町・宿場町・陣屋町など歴史的都市核に隣接した市街地組み込み型公衆浴場」である。浅間温泉（松本市の奥座敷、旧城下町に直結）、高山市八軒町（高山陣屋・三町伝統的建造物群保存地区に隣接）、下諏訪宿（中山道唯一の温泉宿場）、山中温泉（加賀の温泉街）、福井市宝永（福井城址・養浩館庭園周辺）など、いずれも近世以来の歴史的都市空間の内部または直近に温泉・公衆浴場が立地している。周辺施設情報に高山陣屋順路案内図・中山道本陣・武家屋敷・宿場問屋場跡・養浩館庭園・松本城西総堀土塁などが繰り返し登場することが、この「歴史的都市核への埋め込み性」を強く支持する。,多様性が最も顕著なのは「地形・標高・地質」と「施設の性格（温泉か銭湯か）」の両軸である。地形分類では扇状地（高山市・浅間温泉・松本城周辺・加賀別所町・富山藤の木・長野川合新田）、山地（山中温泉2ノード）、山麓地（下諏訪）、後背湿地（福井市宝永・福井市南部）と多岐にわたる。標高も7.7m（福井市後背湿地）から788.2m（下諏訪山麓地）まで約780mの幅がある。施設面では、OSMタグ上でbath:type=onsenが明示された本格温泉地（浅間温泉・山中温泉・別所温泉）から、natural=hot_springのみ付与された松の湯（金沢長町）、温泉表記のない一般公衆浴場（宝永湯・阿津満湯・ゆとぴぁ）まで混在する。地域も福井・石川・岐阜・長野・富山の5県にまたがり、地理的分散も大きい。
3,13,13,このクラスタの本質的特徴は「南西諸島・琉球弧における海洋近接型の観光・地域密着複合温浴施設」である。トカラ列島（小宝島・宝島・平島）、奄美大島（宇検村）、沖縄本島周辺（北谷・沖縄市・豊見城・読谷）、宮古島（池間島）と、すべてのノードが琉球弧の島嶼・半島・埋立地・砂州・岩石台地に立地し、海岸線・海浜・干潟・サンゴ礁といった海洋環境と直接的に隣接している点が共通する。湯泊温泉（海岸線タグ付き）、ちゅらーゆ（サンセットビーチ隣接埋立地）、琉球温泉瀬長島（東シナ海一望）、かりゆしカンナタラソラグーナ（砂州・砂礫州）など、海との近接性が施設の立地選択と体験価値の核心を成しており、単なる「離島温泉」ではなく「海洋景観と一体化した温浴体験」がこのクラスタを貫く固有の性質である。,施設規模・性格の多様性が最も顕著である。ミクロ視点では、トカラ列島の湯泊温泉・友の花温泉保養センター・平島の無名温泉は標高1〜28mの岩石台地・丘陵に立地し、郵便局・高齢者コミュニティーセンター・民宿など地域インフラと一体化した小規模地域密着型である。一方、北谷町の「Terme VILLA ちゅらーゆ」（標高3〜4mの埋立地、アメリカンビレッジ隣接）、豊見城市の「琉球温泉 瀬長島ホテル」（丘陵・岩石台地、ウミカジテラス・23階建てホテル併設）、今帰仁村の「SPA JUNGLIA」（標高157m丘陵、大型テーマパーク内）は大規模観光リゾート型である。地形分類も岩石台地・埋立地・砂州・砂礫州・三角州・海岸低地・干拓地・丘陵と多岐にわたり、地質的背景も琉球石灰岩系台地から沖積低地まで幅広い。周辺施設も公衆浴場単体から足湯・タラソテラピー・テーマパーク内スパまで業態が分散しており、利用者層・運営主体・観光文脈が大きく異なる。
4,20,20,このクラスタの本質的特徴は「高原・山岳リゾート圏に組み込まれた温泉地」である。各ノードは単独の温泉地として完結せず、スキー場・美術館・ホテルチェーン・グランピング施設・複合商業施設などと一体化したリゾート開発の文脈に埋め込まれている点が際立つ。軽井沢千ヶ滝温泉はプリンスホテル運営の日帰り施設として星野リゾートエリアと隣接し、蓼科ノードはホテル・カラオケ・卓球場を併設する複合施設内に温泉が存在する。那須湯本は「ボルケーノハイウェイ」沿いの観光周遊バス網に組み込まれ、峰山高原はグランピングサイトと一体運営される。温泉そのものの泉質や湯治機能よりも、「リゾート体験の構成要素」としての役割がクラスタ全体を貫く共通性である。,地域分布は長野県（軽井沢・蓼科・四万・安曇野・高山村）、福島県（東山・高湯・土湯・芦ノ牧・湯野上）、栃木県（那須湯本×2）、群馬県（榛名湖・四万）、富山県（福光）、兵庫県（峰山高原）と広域に及ぶ。地形分類は火山山麓地・火山地・山地・砂礫質台地・扇状地と多様で、標高も199.8m（福光）から1435.7m（火山山麓地ノード）まで約1200mの幅がある。土地利用形態も、プリンスホテル・星野リゾートなど大資本による複合リゾート型（軽井沢・蓼科）、会津藩ゆかりの歴史的温泉街型（東山・高湯）、茅葺き駅舎と観光拠点が融合した鉄道沿線型（湯野上）、公共施設・老人休養ホームを含む福祉観光型（榛名湖）、森林公園一体型（高山村You遊ランド）など多岐にわたる。泉質も硫黄泉・炭酸水素塩泉・塩化物泉・単純泉と幅広く、周辺施設の性格（美術館・神社・古墳・こけし産地）もミクロスケールで大きく異なる。
5,11,11,このクラスタの本質的特徴は「河川沿い谷底低地に形成された、外湯・共同浴場を核とする開放型温泉街」である。川治温泉（男鹿川）、下呂温泉（飛騨川）、箱根湯本（早川・須雲川）、別所温泉（山地渓流沿い）のいずれも、河川が刻んだ谷底低地または火山地の低標高帯に温泉街が展開し、旅館・ホテルの集積に加えて「薬師の湯」「クアガーデン露天風呂」「白鷺の湯」「幸の湯」「大湯」といった公共・共同浴場が複数確認される。これは単なる宿泊型温泉地ではなく、外湯文化が地域の公共インフラとして根付いた「入湯回遊型」の温泉街構造を示す。噴泉池（下呂）や足湯（川治・下呂・別所）の存在も、温泉を地域住民・観光客双方に開放する公共性の高さを裏付けている。,地域面では栃木県（川治・塩原）、岐阜県（下呂）、神奈川県（箱根湯本）、長野県（別所）、岡山県（百々温泉）と広域に分散し、地理的一体性はない。地形分類は谷底低地が最多だが、火山地（箱根湯本・塩原門前）、扇状地（韮崎）、山地（別所・下呂湯之島）も混在し、地質的背景も火山性（箱根・塩原）と非火山性（下呂のアルカリ性単純温泉、川治のアルカリ性単純温泉）に二分される。施設規模も、日本三名泉として大型旅館・ホテルが密集する下呂温泉から、旅館約10軒の小規模な川治温泉、道の駅併設の日帰り温泉（韮崎）、高齢者福祉施設隣接の百々温泉まで多様である。土地利用も温泉観光特化型（下呂・箱根）から農地・山林混在型（百々・加茂地区）まで幅広く、周辺施設の性格（博物館・合掌村・国宝寺院・道の駅）も大きく異なる。
6,6,6,このクラスタの本質的特徴は「低地扇状地に立地する都市近郊型日帰り公衆浴場」である。6ノード中4ノードが標高33〜58mの扇状地に位置し、残る1ノードも標高134.7mのローム台地と平坦な堆積地形に属する。唯一の例外である富士見温泉（標高335.9m・火山山麓地）を除けば、いずれも関東平野の縁辺部〜内陸低地に展開する。施設形態はamenity=public_bathで統一され、「狭山市市民健康文化センター」「富士見温泉ふれあい館」「鮎川温泉金井の湯」「嵐山渓谷天然温泉平成楼（閉館）」と、いずれも地域住民向けの日帰り入浴・健康増進施設である。秘湯性・宿泊性は皆無であり、「温泉資源を核とした地域密着型公衆浴場」という機能的同質性がクラスタを貫く最大の特性である。,最も多様性が顕著なのは「地形・標高・地質的背景」と「周辺環境の都市化度・自然度」の両軸である。地形面では、扇状地（狭山市・坂戸市・嵐山町）、ローム台地（藤岡市・鮎川温泉）、火山山麓地（前橋市・富士見温泉）と3類型が混在し、標高も33m〜336mと約10倍の開きがある。周辺施設の性格も多様で、狭山市ノードはリサイクルセンター・コミュニティセンターと隣接する都市インフラ密集型、富士見温泉は道の駅・農産物直売所・展望台を併設する観光拠点型、坂戸市・嵐山町の2ノードはnatural=hot_springタグのみで周辺施設が極めて希薄な自然近接型、鮎川温泉は河川（natural=water/water=river）に隣接する渓谷縁辺型と分化する。また嵐山町ノードは菅谷館跡・鎌倉街道上道など中世史跡群に囲まれた歴史文化型という独自性を持ち、施設の存廃状況（平成楼は閉館）も含めてクラスタ内の多様性は大きい。
7,6,6,沿岸・島嶼立地型の公共温浴複合施設：このクラスタの最も本質的な特徴は、海岸線・島嶼・岬など「陸と海の境界域」に立地し、温泉機能を核としながら道の駅・スポーツ施設・公園・観光拠点を一体的に備えた「公設複合レジャー施設」としての性格である。パルシェ香りの湯（砂礫質台地・静岡）、たてやま温泉千里の風（砂丘・千葉館山）、日向サンパーク（岩石台地・宮崎日向灘沿岸）、玄海海上温泉パレア（磯・岩礁・佐賀玄海島嶼）、御神火温泉（火山山麓・伊豆大島）、新島温泉（火山山麓・新島）のいずれも、海岸線タグ・道の駅・駐車場・スポーツ施設・コミュニティセンターが周辺施設として共存しており、単独の温泉宿ではなく「地域住民と観光客が共用する公共的複合施設」という構造が一貫している。地形分類が砂丘・磯・岩礁・火山山麓と多様でありながら、いずれも海に近接する低〜中標高帯（2.5m〜31.2m）に集中している点も、この沿岸公共複合型という性格を裏付ける。,地形・地質・立地スケールの多様性：variationが最も顕著に現れるのは「地形分類と地質的背景」および「施設の観光的文脈」の両軸である。地形面では、砂礫質台地（98.1m・静岡）、砂丘（7.3m・千葉）、岩石台地（20.3m・宮崎）、磯・岩礁（2.5m・佐賀）、火山山麓（11.2m・伊豆大島、31.2m・新島）と、堆積地形・侵食地形・火山地形が混在する。地質的には、火山性起源（伊豆大島・新島は三原山・新島火山系）と非火山性の海成堆積地形（砂丘・砂礫台地・岩礁）が並存する。観光文脈でも、房総フラワーライン沿いのリゾートホテル付帯温泉（千里の風）、熱帯植物園併設の道の駅（南房パラダイス跡地周辺）、玄海国定公園内の離島公園施設（パレア）、日豊海岸国定公園内の道の駅複合施設（日向サンパーク）、活火山噴火後に誕生した島嶼温泉（大島・新島）と、自然公園指定・道の駅・リゾート・離島振興など異なる政策的・観光的文脈が混在しており、ミクロな立地条件の差異が施設の性格の多様性に直結している。
8,8,8,都市近郊・交通結節点型の「生活密着型公衆浴場」クラスタ。このクラスタの本質は、非日常的な観光温泉地ではなく、地域住民の日常生活圏に組み込まれた公衆浴場・共同浴場としての機能にある。飯坂温泉（砂礫質台地・標高94〜103m）の波来湯・仙気の湯は市営・地域運営の共同浴場であり、やまびこの湯（仙台市太白区・谷底低地）はアミューズメント施設隣接の日帰り入浴施設、バイパスサウナ（二本松・丘陵）はドライブイン併設のロードサイド型、嵐の湯（新潟・扇状地）は郵便局・交番が立ち並ぶ生活インフラ集積地に立地する。いずれも「旅館街の奥座敷」ではなく、地元住民が日常的に利用する浴場として機能している点が共通する固有性である。,地形・地域・施設形態の三軸で顕著な多様性が見られる。【地形】砂礫質台地（飯坂温泉・標高94〜103m）、扇状地（天童・標高126m、新潟荒川・標高10m）、谷底低地（仙台・標高29m）、三角州・海岸低地（はわい温泉・標高1.7m）、丘陵（二本松・標高231m）と、地形分類が6種に及ぶ。【地域】東北（福島・宮城・山形）から北陸・山陰（新潟・鳥取）まで広域に分散する。【施設形態】ミクロ視点では、市営共同浴場（波来湯・仙気の湯）、ロードサイドサウナ（バイパスサウナ）、スポーツ公園付設温泉（荒川原温泉）、湖底源泉の足湯（はわい温泉）、住宅街の日帰り浴場（やまびこの湯）と多岐にわたる。周辺施設もJA斎場・アーケード・運動公園・免許試験場と異質であり、温泉の「観光的文脈」が希薄な点が共通しつつも、その立地環境は極めて多様である。
9,14,14,このクラスタの本質的特徴は「地域生活圏に根ざした日常湯治型温泉」である。各ノードに共通するのは、温泉施設が観光リゾートとして独立するのではなく、地域住民の生活インフラとして機能している点だ。宮城県川崎町の「やすらぎの郷」は健康福祉センターとして行政が運営し、富山市の鯰温泉は廃線跡の地域に残る生活密着型施設、新潟県長岡市の寺宝温泉は農地・コミュニティセンターに隣接し、鳥取市浜村温泉は「ゆうゆう健康館けたか」として健康増進施設と一体化している。三朝温泉の株湯は無料足湯・飲泉所を備え、弥彦の足湯は門前町の日帰り観光客向けに転換している。いずれも「泊まる温泉」ではなく「通う温泉」「立ち寄る温泉」として地域社会に組み込まれており、この日常性・生活密着性がクラスタ全体を貫く固有の性質である。,地形・地域・土地利用形態において多様性が顕著である。地形分類だけでも、砂礫質台地（川崎町）・谷底低地（朝来市・湯村温泉・三朝温泉）・ローム台地（三沢市）・扇状地（富山市鯰・小布施）・自然堤防（長岡市寺宝）・山麓地（弥彦村×2）・砂州・砂礫州（浜坂）・三角州・海岸低地（浜村）と実に8種類に及ぶ。標高も2.5m（浜村）から414.1m（小布施）まで幅広い。地域も東北（宮城・岩手・青森）・北陸（富山・新潟）・近畿（兵庫）・山陰（鳥取）と全国に分散する。土地利用形態も、農地隣接型（寺宝温泉・川崎町）、門前町型（弥彦）、海岸砂浜型（浜坂・浜村）、河川沿い温泉街型（湯村・三朝・岩井）、廃線跡地域型（鯰温泉）と多岐にわたる。周辺施設も高校・中学校・郵便局・農産物直売所・ファストフード・漁港など生活施設が混在し、観光特化型との差異が際立つ。
